title,total_time,serving_size,ingr,instructions,nativeCuisine,country
Pork and Black Bean Stew,60,4 servings,2 tablespoons vegetable oil,"Heat 1 tablespoon vegetable oil in a skillet over medium heat, stir in garlic and onion, and cook a few minutes until the onion softens and turns translucent. Remove the onion, and place into a saucepan. Pour the remaining 1 tablespoon vegetable oil into the skillet, and place over medium-high heat. Add cubed pork, and cook until well browned.

Meanwhile, pour 3/4 of the black beans along with 1/4 cup water into the bowl of a blender, and pulse until finely chopped, but not quite smooth. Pour whole beans and bean puree into saucepan along with pork cubes, chicken stock, chorizo, and bay leaves. Bring to a boil over medium-high heat, then reduce heat to medium-low, cover, and simmer 30 minutes. Season to taste with salt and pepper before serving.
",brazilian,BRA
Brazilian Cheese Rolls (Pao de Queijo),45,28 rolls,2 cups tapioca starch,"Preheat oven to 375 degrees F (190 degrees C). Lightly grease a baking sheet

Place tapioca starch and salt in a large bowl.

Bring vegetable oil, water, and milk to a boil over medium heat until a white foam appears. Pour milk mixture over tapioca starch and stir until well mixed; allow dough to rest for 15 minutes. Mix eggs and Parmesan cheese into dough. Shape dough into 1 1/2-inch balls and place on prepared baking sheet.

Bake in preheated oven until rolls are browned, 15 to 20 minutes.
",brazilian,BRA
Brazilian Carrot Cake,60,12 servings,"3 large carrots, peeled and thinly sliced","Preheat oven to 350 degrees F (175 degrees C). Lightly grease 9x13 baking dish.

Place the carrots, eggs, and oil in a blender or bowl of a food processor. Process until carrots are finely chopped. Pour the carrot mixture into a mixing bowl. Stir in 2 cups sugar until well blended. Stir in the flour and baking powder; mix until well blended. Pour the batter into the prepared baking dish.

Bake in preheated oven until top springs back when lightly touched, about 40 minutes.

Meanwhile, make the icing by placing the butter, 1 cup sugar, instant hot chocolate drink mix, and milk in a pan. While stirring, heat to almost boiling over medium-high heat until mixture thickens. When the cake is done, remove from the oven and immediately spread the icing evenly over the top.
",brazilian,BRA
Brazilian Black Bean Stew,45,6 servings,1 tablespoon canola oil,"Heat the oil in a large pot over medium heat, and cook the chorizo and ham 2 to 3 minutes. Place the onion in the pot, and cook until tender. Stir in garlic, and cook until tender, then mix in the sweet potatoes, bell pepper, tomatoes with juice, chile pepper, and water. Bring to a boil, reduce heat to low, cover, and simmer 15 minutes, until sweet potatoes are tender.

Stir the beans into the pot, and cook uncovered until heated through. Mix in the mango and cilantro, and season with salt.
",brazilian,BRA
Churrascaria-Style Picanha,60,5 3 ounce portions,"3 cloves garlic cloves, crushed, or more to taste","Mix crushed garlic and salt together in a bowl until combined into a paste.

Rub garlic paste onto meat until covered. Place into a bowl; cover with lemon juice. Marinate until the meat has absorbed desired flavor, 30 minutes to 4 hours. Remove meat from the lemon juice. Baste with olive oil.

Preheat an outdoor grill for high heat and lightly oil the grate.

Cook meat on the preheated grill, turning frequently until the outer edges are charred and center is uncooked, about 5 minutes. Remove from heat; slice off charred edges, cutting against the grain. Return the uncooked center portion of the meat back to the grill. Cook until the meat begins to firm and is hot and slightly pink in the center, about 5 minutes per side. An instant-read thermometer inserted into the center should read 140 degrees F (60 degrees C).
",brazilian,BRA
Brazilian Keto Shrimp Stew,35,4 servings,¼ cup olive oil,"Heat olive oil in a medium-sized saucepan. Add onion and cook until soft and translucent, about 5 minutes. Add garlic and red peppers; cook 2 to 3 minutes more. Add tomatoes, shrimp, and cilantro and simmer gently until shrimp are opaque, about 5 minutes. Pour coconut milk into the saucepan, add sriracha sauce, and cook until just heated through without boiling. Add lime juice and season with salt and black pepper to taste.
",brazilian,BRA
Moqueca de Peixe Baiana (Brazilian Fish Stew),80,4 servings,4 (4 ounce) fillets sea bass,"Rinse sea bass under running cold water; pat dry. Place in a shallow dish and season with lime juice, garlic, and salt. Marinate for 30 minutes.

Heat olive oil in a large skillet over medium heat. Add grated onion and cook for a few seconds. Add fish and marinade to the skillet and cook for 3 to 5 minutes. Stir in palm oil and onion rings, followed by water and coconut milk. Simmer for 15 minutes. Add green bell pepper, red bell pepper, tomatoes, cilantro, and green onions; cover and cook until vegetables are soft and flavors are well combined, about 5 minutes.
",brazilian,BRA
Brazilian-Style Beef Ribs,380,3 servings,1 (3 pound) rack of whole beef ribs (not short ribs),"Preheat oven to 275 degrees F (135 degrees C).

Place the rack of beef ribs in front of you on a work surface with the shiny white membrane facing up. Slip the blade of a sharp knife under the membrane at one end, and slice the membrane off the meat in a single piece, if possible. Discard the chewy membrane. Rub the ribs thoroughly with sea salt, front and back. Place the ribs onto a cooking rack in a roasting pan.

Bake in the preheated oven until very tender, about 6 hours. Lightly baste the beef with water (use beef broth if you prefer) after the first 1 1/2 hours, being careful not to dislodge the salt. Baste again every 45 minutes to 1 hour; after 6 hours of total cooking time, remove from oven and allow to rest 10 to 15 minutes before slicing up into servings.
",brazilian,BRA
Easy Brazilian Black Bean Stew,34,8 1/2 cup servings,"2 strips bacon, diced","Cook bacon in a pot over medium heat until almost crisp, 3 to 5 minutes. Add onion and green pepper to the bacon; cook and stir until onion is translucent, about 5 minutes. Mix in cilantro, garlic, and bay leaf; cook and stir until flavors combine, 1 to 2 minutes.

Stir beans, chicken broth, vinegar, salt, pepper, and hot sauce into the onion mixture; cover and let simmer until the flavors combine, 10 to 15 minutes. Add more chicken broth if you would like the beans to be more soupy.
",brazilian,BRA
Brazilian Passion Fruit Mousse (Maracuja),75,6 servings,8 passion fruits,"Break passion fruits in half, and empty contents into a bowl. Use a little water to help rinse the juice out of the skins. Mix with hands to soften pulp. Strain through a sieve or cheesecloth. Stir in sugar and sweetened condensed milk.

In a chilled bowl, beat cream until stiff peaks form. Fold 1/3 of the cream into the passion fruit mixture, then quickly fold in remaining cream until no streaks remain. Refrigerate for 1 hour.
",brazilian,BRA
Brazilian Coffee Cookies,0,4 dozen,⅓ cup shortening,"Preheat oven to 400 degrees F (205 degrees C). Line baking sheets with parchment paper.

Beat the shortening, brown sugar, white sugar, egg, vanilla and milk until fluffy.

Stir the flour, salt, baking soda, baking powder and instant coffee. Add to sugar mixture and mix thoroughly.

Shape dough in 1 inch balls. If it's too soft, chill it for a while. Place balls 2 inches apart on prepared baking sheets. Flatten to 1/8 inch thickness with fork or glass dipped in sugar.

Bake at 400 degrees F (205 degrees CV) for 8 to 10 minutes until lightly browned.
",brazilian,BRA
Savory Pao de Queijo (Brazilian Cheese Bread),50,30 buns,1 ¼ cups milk,"Preheat oven to 350 degrees F (175 degrees C).  Grease and flour a baking sheet.

Combine milk, vegetable oil, and salt together in a saucepan; bring to a boil. Add 4 1/3 cups plus 1 tablespoon tapioca flour; stir constantly until dough easily pulls away form the sides of the pan. Remove from heat; cool 10 to 15 minutes. Stir in eggs, one at a time. Mix in Parmesan cheese.

Shape the dough into small balls with greased hands; place onto baking sheet a few inches apart.

Bake in the preheated oven until puffed and golden, about 25 minutes.
",brazilian,BRA
Air Fryer Pao de Queijo,25,20 rolls,¾ cup sweet manioc starch (polvilho doce) (such as Yoki®),"Preheat an air fryer to 325 degrees F (165 degrees C).

Mix sweet manioc and sour manioc starches together in a bowl until fully combined.

Combine milk, water, olive oil, and salt in a saucepan and bring to a boil. Reduce heat and add starches. Stir until liquid is absorbed; the mixture will be very dry. Remove from heat and allow mixture to cool just until safe to handle.

Add eggs to the starch mixture in the saucepan; mix until smooth and dough pulls away from the sides. Add Cheddar cheese and Parmigiano-Reggiano cheese; mix well.

Using gloved or lightly oiled hands, pinch off a golfball-sized piece of dough, roll into a ball, and place on a plate. Repeat with remaining dough. Line the air fryer with a piece of parchment paper. Place balls into the basket in batches, approximately 1 inch apart.

Bake in the air fryer until browned outside, 8 to 10 minutes. Repeat with remaining balls.
",brazilian,BRA
Bolo de Leite Condensado (Brazilian Condensed Milk Cake),50,1 9-inch tube cake pan,1 (14 ounce) can sweetened condensed milk,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9-inch tube cake pan.

Please condensed milk, milk, eggs, and butter in a blender; blend until well-combined. Add flour, sugar, baking powder, and salt; blend until cake batter is smooth. Pour into prepared cake pan.

Bake in the preheated oven until golden brown, about 40 minutes.
",brazilian,BRA
Black Beans with Bacon,810,6 servings,1 (8 ounce) package dry black beans,"Place beans in a pressure cooker with enough water to cover, and soak 12 hours, or overnight.

Add 2 1/2 quarts water to the beans, or enough to fill pressure cooker about 2/3 full. Cover, and cook 30 minutes at 10 pounds pressure. Remove from heat, and set aside.

Heat the oil in a medium saucepan over medium heat, and saute the garlic and onion until tender. Stir in the tomato and carrot. Cook about 5 minutes, and mix in the bacon. Cook and stir until bacon is crisp and evenly browned.

Mix the vegetable and bacon mixture into the pressure cooker with the black beans. Cover, and continue cooking approximately 10 minutes at 10 pounds pressure. Garnish with parsley, and season with salt and pepper to serve.
",brazilian,BRA
Coxinhas (Brazilian Chicken Croquettes),90,20 coxinhas,"2 small skinless, boneless chicken breast halves","Combine chicken breasts and 1 cup chicken broth in a pot over medium heat. Bring to a boil, reduce heat, cover, and simmer until chicken is cooked through, 20 to 30 minutes. Keep checking that there is enough liquid in the pot and add more stock if necessary. Remove from pot, allow to cool briefly, and shred with 2 forks.

Heat olive oil in a skillet over medium heat and cook onion until soft and translucent, about 5 minutes. Add shredded chicken, olives, and parsley. Stir well and season with salt and pepper. Remove filling from heat and set aside.

Heat 2 cups chicken broth and butter in a large saucepan over medium heat; season with salt salt and bring to a simmer. Add flour all at once and stir to form a thick paste. Stir vigorously until the mixture is smooth and no longer sticks to the bottom of the pan. Remove from heat and let pastry cool.

Once pastry is cool enough to handle, transfer to an oiled work surface and knead until smooth, 2 to 3 minutes.

Take a portion of pastry and roll into a golf ball-sized ball. Stick an oiled finger into the center of the ball and press the edges to create a small bowl. Stuff with 2 teaspoons of chicken filling and gather the top edges to seal, rolling into a teardrop shape. Set croquette aside and cover with a damp towel. Repeat with remaining pastry and filling.

Set out 3 bowls in the following order: flour, beaten eggs, breadcrumbs. Roll each croquette in flour, then dip in egg, then cover in breadcrumbs.

Heat oil for deep frying in a large saucepan or deep fryer. Fry the croquettes in batches, until golden brown on all sides, 7 to 10 minutes. Remove from oil and drain on paper towels.
",brazilian,BRA
Brazilian Garlic Sauce (Molho de Alho),15,1 1/2 cup servings,2 tablespoons butter,"Heat butter in a large saucepan over medium heat. Add garlic; cook and stir until the garlic is a light brown, about 2 minutes. Mix in flour; cook and stir until the garlic mixture is a light blonde color, 2 to 3 minutes. Stir in milk a little at a time until combined, 1 to 2 minutes. Add mayonnaise, salt, pepper, and oregano; cook and stir until sauce is smooth and evenly warmed, about 5 minutes.
",brazilian,BRA
Easy Brazilian Spiced Salmon,20,4 fillets,4 salmon fillets,"Preheat the oven to 425 degrees F (220 degrees C). Grease a baking sheet.

Place salmon fillets on the prepared baking sheet. Mix olive oil, brown sugar, garlic, smoked paprika, paprika, and chile powder together in a bowl. Spread mixture over salmon fillets. Squeeze lemon juice on top.

Bake in the preheated oven until fish flakes easily with a fork, 13 to 15 minutes.
",brazilian,BRA
Caipirinha Cocktail,5,1 cocktail,"1 lime, quartered","Combine sugar and lime quarters in a pint glass. Crush and mix together using a cocktail muddler. Add cachaca and stir. Fill with ice and stir again.
",brazilian,BRA
Moqueca Baiana (Brazilian Seafood Stew),88,8 servings,1 (16 ounce) can crabmeat,"Place crabmeat and shrimp in a dish; coat with lemon juice, lime juice, 3 cloves garlic, 1/2 teaspoon salt, and 1/2 teaspoon black pepper. Mix well. Cover with plastic wrap; chill until ready to use.

Combine rice, 3 cups plus 2 tablespoons water, coconut milk, chopped onion, butter, 2 teaspoons salt, and 1 clove garlic in a large saucepan or rice cooker. Simmer, covered, until water is absorbed, about 15 minutes.

Heat dende oil in a large skillet over medium heat. Cook and stir sliced onion until beginning to soften, about 5 minutes. Add yellow bell pepper, orange bell pepper, and crushed pepper. Cook and stir until heated through, 3 to 5 minutes. Add sliced tomatoes, chopped tomato, and green onions. Reduce heat to low; let vegetable mixture simmer for 5 minutes. Add the remaining 1/2 teaspoon salt, 1/2 teaspoon black pepper, and cilantro.

Transfer 1/2 the vegetable mixture to a plate. Spread the remaining mixture to evenly cover the bottom of the skillet. Spread crab-shrimp mixture on top. Top with the remaining vegetable mixture and pour on coconut milk. Bring to a simmer over medium heat. Reduce heat to low. Cook without stirring until flavors blend, about 15 minutes. Serve over the rice.
",brazilian,BRA
Quindim,70,1 - 9 inch pie pan,1 cup white sugar,"Preheat an oven to 350 degrees F (175 degrees C).

Mix the sugar, coconut, and butter in a bowl. Stir in the egg yolks and the egg white; beat until well combined. Pour the mixture into a 9 inch pie plate. Place the pie plate in a large roasting pan. Pour enough boiling water into the bottom of the roasting pan to reach about half-way up the side of the pie plate.

Bake in the preheated oven until golden brown on top, about 30 minutes. Allow to cool completely before turning out onto a serving dish. Refrigerate until serving.
",brazilian,BRA
Batida de Coco Rapida (Brazilian Coconut Cocktail),10,7 cocktails,1 (14 ounce) can sweetened condensed milk,"Combine condensed milk, vodka, ice, and coconut milk in a blender; blend until smooth. Pour cocktail into glasses and sprinkle coconut over each.
",brazilian,BRA
Brazilian Chicken Salad (Salpicao de Frango),20,8 servings,1 pound coarsely shredded cooked chicken,"Combine chicken, corn, olives, raisins, carrots, celery, and apple in a large bowl.

Stir together cream and mustard in a cup and season with sugar, salt, and pepper. Pour dressing over salad and mix to combine. Season with salt and pepper and sprinkle with parsley.

Arrange lettuce leaves and watercress on a platter and spoon salad in the middle. Sprinkle shoestring potato sticks on top and press into salad. Chill until serving.
",brazilian,BRA
Refreshing Brazilian Lemonade,10,6 servings,4 ¼ cups water,"Combine water and limes in a blender; blend until smooth. Strain mixture through a strainer into a bowl; discard solids. Pour lime mixture into blender. Add condensed milk, ice, and sugar; blend until combined.
",brazilian,BRA
Caipirinha de Limo Tradicional (Classic Brazilian Cocktail),10,1 cocktail,1 lime,"Cut off the lime ends with a sharp knife; discard. Slice lime in half; remove white pith from the center. Slice into 6 wedges.

Place lime wedges skin side down into a glass; add sugar. Mash with a cocktail muddler, bruising the skin slightly. Stir in ice and cachaca.
",brazilian,BRA
Pan de Queso (Brazilian Cheese Buns),55,24 cheese buns,½ cup water,"Preheat oven to 350 degrees F (175 degrees C). Grease 2 baking sheets.

Bring water, milk, oil, and salt to boil in a large saucepan. Remove from heat; add tapioca starch and mix well. Let cool, 10 to 15 minutes.

Transfer tapioca mixture to a large bowl. Add egg and mix well to combine. Fold in Parmesan cheese and knead until dough is smooth but still sticky.

Scoop out 1 tablespoon of the dough and roll into a small ball; place on baking sheet. Repeat with remaining dough.

Bake in the preheated oven until golden brown, about 20 minutes.
",brazilian,BRA
Brazilian Cheese Puffs (Pao de Queijo),40,24 puffs,¼ cup canola oil,"Preheat an oven to 450 degrees F (230 degrees C).

Combine the canola oil, water, and salt in a saucepan and bring to a boil. Place the tapioca starch in a metal bowl; pour the oil and water mixture over the tapioca; mix thoroughly. Beat in the egg. Stir in the yogurt, Parmesan cheese, and mozzarella cheese. Pour the mixture into mini-muffin tins.

Place on middle rack of the preheated oven. Reduce heat to 350 degrees F (175 degrees C). Bake until slightly golden, 25 to 30 minutes.
",brazilian,BRA
Brazilian Black Bean Soup,60,6 servings,1 tablespoon olive oil,"Heat olive oil in a large saucepan over medium heat. Add onion, half of the garlic, and carrot. Season with cumin and salt. Cook, stirring, until onion and carrot are tender. Stir in remaining garlic, and red pepper; continue cooking until tender.

Add beans, water, and orange juice to the pan, and season with cayenne pepper. Transfer a portion of the mixture to a blender or food processor, and puree until smooth. Puree part or all of the soup, depending on how you like the texture. Return puree to the pan, and simmer for 10 more minutes to blend flavors before serving.
",brazilian,BRA
Feijao Na Pressao (Brazilian Black Beans in the Pressure Cooker),41,4 servings,2 cups water,"Place water, black beans, onion, ham bouillon, and bay leaf in a pressure cooker. Close cooker securely and bring to high pressure according to manufacturer's instructions. Cook for 15 minutes after steam starts to escape. Remove from heat and allow cooker to release pressure naturally.

Heat olive oil in a skillet over low heat. Add garlic; cook and stir until golden, about 1 minute. Stir oil and garlic into beans. Remove bay leaf and season beans with salt.
",brazilian,BRA
Bolo de Fuba Cremoso (Creamy Cornmeal Cake),40,1 9-inch cake pan,4 cups milk,"Preheat oven to 300 degrees F (150 degrees C). Grease a 9-inch cake pan.

Combine milk, sugar, eggs, Parmesan cheese, and butter in a blender; blend until smooth, about 5 minutes. Add coconut, cornmeal, and flour; blend until creamy. Add baking powder and salt and blend until smooth. Pour into the prepared cake pan.

Bake in the preheated oven until top is golden brown and edges pull away from the sides of the pan, about 30 minutes.
",brazilian,BRA
Brazilian Churrasco,15,1 steak,1 (12 ounce) 1/2-inch thick top sirloin steak,"Rub sirloin steak with sea salt, pressing until salt sticks on both sides and steak is evenly coated.

Preheat grill for medium heat and lightly oil the grate.

Cook steak on the preheated grill until browned, about 5 minutes. Flip steak; scrape as much salt off the top as possible. Continue cooking until second side is browned and center reaches desired doneness, 5 to 10 minutes more. Scrape salt off the second side and serve.
",brazilian,BRA
Arroz de Braga (Portuguese Rice),110,8 servings,2 tablespoons oil,"Heat oil in a large saucepan over medium heat. Add onion, chicken thighs, and drumsticks; cook and stir until starting to brown, about 10 minutes. Add ham, smoked sausages, and fresh sausages. Cook and stir until golden brown, about 10 minutes.

Stir rice, tomatoes, red bell pepper, spring onions, salt, and parsley into the saucepan. Pour in water and add chicken bouillon cubes. Reduce heat and simmer, partially covered, until flavors are combined, about 15 minutes. Stir in sliced cabbage. Continue to cook until rice is tender and water has been absorbed, about 15 minutes more.

Drizzle olive oil over rice before serving.
",brazilian,BRA
Moqueca (Brazilian Fish Stew),92,8 servings,"2 pounds sea bass fillets, cut into large pieces","Combine sea bass fillets, lime juice, salt, and pepper in a large bowl. Marinate in the refrigerator for 30 minutes.

Heat palm oil in a large skillet over medium heat. Add tomatoes, onion, green bell pepper, red bell pepper, cilantro, green onions, parsley, and garlic; cook and stir until fragrant, about 2 minutes. Add marinated sea bass and coconut milk. Reduce heat to low; cook for 12 minutes. Add shrimp. Continue cooking until sea bass flakes easily with a fork and shrimp is opaque, about 3 minutes more.
",brazilian,BRA
Brazilian Chicken Stroganoff,52,4 servings,"3 tablespoons olive oil, divided","Heat 2 tablespoons olive oil in a skillet over medium-low heat. Place onions to the skillet; cook and stir until the onions are soft, 5 to 7 minutes. Add mushrooms and garlic; cook and stir until mushrooms are soft, 7 to 10 minutes. Pour the mushroom mixture into a bowl.

Heat 1 tablespoon olive oil in the skillet over medium-high heat. Place chicken in the skillet; cook until the chicken is golden brown and no longer pink in the center, 7 to 10 minutes per side. Stir the mushroom mixture in with the chicken and season with salt and pepper. Add tomatoes; cook and stir until tomato juice begins to simmer, 5 to 7 minutes. Stir in table cream; simmer until flavors are combined, 1 to 3 minutes.
",brazilian,BRA
Canja,0,6 servings,"3 pounds boneless, skinless chicken meat","To a large saucepan, add the chicken, onion, and chicken stock.  Bring to a simmer, and cover.  Cook over low heat until the chicken is tender, about 45 minutes.  Lift the chicken out onto a platter, and set aside.  Strain the stock through a sieve set over a bowl.  Discard the solids, and skim off as much fat as possible from stock.

Rinse out the saucepan, and return the stock to it.  Add the rice, tomatoes and carrots to the stock. Season with salt and black pepper to taste.  Bring to a simmer.  Cook until the rice is tender, about 25 minutes.

When the chicken is cool enough to handle, cut it into strips about 1/2 X 1 1/2 inches.  Return the chicken to the soup with the ham, and cook just long enough to heat through.  Add the parsley, and serve.
",brazilian,BRA
Brazilian Quentao,30,8 servings,1 cup white sugar,"Pour sugar into a 3-quart saucepan and place over medium-high heat. Cook while stirring gently until the sugar melts and turns golden brown, about 10 minutes.

Carefully and slowly pour in the water, stirring to dissolve the caramel. Add the ginger, lime, and cinnamon; bring to a boil, then reduce heat to medium, and simmer for 10 to 15 minutes. Pour in the cachaca, and cook until hot, about 5 minutes more. Strain before serving.
",brazilian,BRA
Moqueca de Palmito (Vegan Brazilian Stew with Hearts of Palm),35,4 servings,"1 tablespoon palm oil, divided","Heat 1 teaspoon palm oil and olive oil in a pot over medium heat and cook onion until soft and translucent, about 5 minutes. Add red and green bell peppers and cook for 3 minutes. Stir in hearts of palm and tomato and drizzle with remaining palm oil.

Pour coconut milk into the pot and season stew with salt. Mix gently, stir in parsley, and simmer until all the vegetables are soft, about 10 minutes.
",brazilian,BRA
Brazilian Banana Bread,60,1 - 9x13 inch pan,3 tablespoons margarine,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch pan.

In a large bowl, mix together margarine and sugar until smooth. Mix in yolks. Stir in flour and baking powder alternately with the milk.

In another bowl, beat egg whites until doubled in volume.  Fold beaten whites into the dough.  Spread into a greased 9 x 12 inch pan.  Slice bananas over the top of the dough.  In a small bowl, mix together the 2 tablespoons sugar and the cinnamon; sprinkle over bananas.

Bake at 350 degrees F (175 degrees C) for 30 to 35 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool.
",brazilian,BRA
Canjica (Brazilian Hominy Pudding),565,10 servings,1 pound dried hominy,"Combine hominy and water in a large saucepan and soak 8 hours to overnight.

The next day, bring soaked hominy and liquid to a boil over high heat. Reduce heat and simmer until hominy is soft, about 1 hour. Add coconut milk, condensed milk, regular milk, 2 tablespoons sugar, cinnamon sticks, 1/2 teaspoon ground cinnamon, and cloves. Cook over low heat until mixture has thickened, about 15 minutes.

Taste and sweeten with more sugar if needed. Stir in coconut. Ladle into serving bowls and sprinkle with cinnamon.
",brazilian,BRA
Sun-Dried Tomato and Arugula Pizza,30,1 pizza,1 cup tomato sauce,"Preheat oven to 350 degrees F (175 degrees C).

Spread the tomato sauce evenly atop the pizza crust. Arrange the mozzarella cheese and tomatoes on the pizza crust.

Bake in the preheated oven until the cheese is bubbly, about 20 minutes. Remove from oven and top with arugula to serve.
",brazilian,BRA
